video_id,positive_comments,neutral_comments,negative_comments
--6kQuiAEjI,3,36,11
--BrlAsOeUY,29,2,3
--Hfol2AEOk,0,0,0
--mUH7aFLxg,0,5,3
--QALuCmUOw,1,1,0
--VFnGj0kCE,1,1,0
-00h-BJzElU,1,2,0
-08c8FZQmNM,32,9,9
-0C59Xo5ZwY,0,2,1
-0cbwi2lJJU,2,1,1
-0f57DJ9o1c,0,0,1
-0GMfzTyyfA,3,0,0
-0Ho_iDAUXU,1,0,0
-0mUfsAGT_c,0,0,0
-0NsFBM4pck,4,2,0
-0O_eHQfILs,6,36,8
-0q6dBkBwJQ,0,1,0
-0QaFujU5Us,16,4,12
-0SkqdqTNk0,8,4,2
-0SZXgf48R0,1,0,0
-0vvde-qDBo,5,1,1
-0wbbze3iGE,0,0,0
-1-YKMJz6oM,4,28,18
-1-yoiMi9tY,17,10,5
-10yqrYSbu0,0,50,0
-11AV4K9980,10,1,2
-1blRbIRYD8,0,0,0
-1EytiBnBIE,13,5,1
-1eY_Pn9uDw,5,1,3
-1iu1YLsFJc,28,20,2
-1mlmW_d-4Q,7,0,3
-1O1vGGqg4k,0,0,0
-1RRXfd5j4k,0,6,0
-1tPmYXVXqg,8,1,0
-26WCllX4rQ,18,25,7
-276SkX5Lak,0,4,0
-2haLb8_l_w,31,15,4
-2kPlGcnJBE,8,1,0
-2Na9LUbHsM,7,6,2
-2T5kgTHPLo,11,4,5
-2TjO3KSw0E,23,23,4
-2TnlO38KYM,4,1,6
-2XDcLRUq98,8,3,1
-2YEMPGlFyk,33,9,8
-2yVch-KyHk,3,15,6
-2Z9qi6_WLo,11,3,1
-2Zdu3hMGVw,0,0,0
-30X9NERw_k,1,3,0
-34A7I3xb1o,7,5,0
-3D0xYNwTaU,5,0,2
-3kcbDx3sTA,1,0,0
-3mfqRjXqHk,12,10,2
-3rcLoVKhqA,1,0,1
-3uBJuur4UM,0,6,0
-40Lc2-a5XA,16,6,0
-41UpQQTLY8,2,1,3
-4cBjtNBctA,0,3,0
-4G_MhNbs6k,2,7,1
-4IM_gtVm2o,6,3,6
-4qtVwI7AJM,0,2,0
-4QVW_FQHMk,4,1,0
-4_dSCiM528,11,11,2
-5-PrNskCO0,0,0,0
-50QUiBKz6k,17,25,8
-55t9EO4Qto,3,30,2
-5BWilhf9y4,1,2,0
-5dE2FeUNBU,0,8,1
-5GM5MiBSG4,6,1,1
-5gY85cLJi8,1,49,0
-5nDppR0x8Q,1,1,0
-5UdIa-JH9U,5,0,1
-5VJ-yv27UA,3,3,0
-5XlvT8yRI0,1,4,0
-5zamg1j4yQ,0,0,2
-612nYUPszE,0,0,0
-658Xoio7Fs,1,0,0
-6c0S6til1k,2,1,0
-6GnKcKUdV8,2,0,1
-6HPFUf9o6s,19,2,1
-6kFRIZ9XI0,4,4,2
-6knlBs5Ds8,2,0,1
-6m6FsqLqr4,22,4,6
-6O0HVgjMGg,0,0,0
-6zASBUjm98,10,9,1
